Sample	posterior	ESS(posterior)	likelihood	prior
0	-8274.924097095463	N	-8264.513710059482	-10.410387035981923
1000	-8170.10295985221	2.0	-8163.72071501954	-6.382244832669988
2000	-8170.577932754423	3.0	-8164.389820611921	-6.188112142502186
3000	-8170.687421581801	4.0	-8164.7083002729705	-5.979121308830464
4000	-8169.371215860585	5.0	-8164.193390881257	-5.177824979328175
5000	-8166.452434031936	6.0	-8161.008868259474	-5.443565772461358
6000	-8169.193284813572	7.0	-8163.504182138768	-5.689102674804598
7000	-8166.734666042777	8.0	-8161.8184263734	-4.916239669376632
8000	-8168.597218253958	9.0	-8163.128172613263	-5.46904564069517
9000	-8165.660675855163	3.9	-8160.4215047363505	-5.239171118812571
10000	-8170.486371509455	5.6	-8165.049093857353	-5.4372776521024395
11000	-8167.2213403277165	6.0	-8161.446505601242	-5.774834726474478
12000	-8169.489565218952	6.5	-8164.012455148257	-5.477110070694785
13000	-8172.068558224052	8.3	-8166.6665717345295	-5.401986489522658
14000	-8169.782392797405	8.2	-8163.389106530225	-6.393286267179949
15000	-8165.338424747057	15.0	-8160.319115135892	-5.019309611164074
16000	-8170.84151112803	16.0	-8166.121327513232	-4.72018361479754
17000	-8168.654969483856	17.0	-8163.46418078105	-5.190788702805712
18000	-8167.624745637364	18.0	-8162.465915249338	-5.15883038802601
19000	-8168.535368212691	18.0	-8162.876645755566	-5.658722457124952
20000	-8167.195357807616	19.0	-8161.815883115581	-5.379474692036148
21000	-8172.679924175324	20.0	-8165.49410150843	-7.185822666894283
22000	-8172.295003023219	21.0	-8166.640724400002	-5.654278623216848
23000	-8165.643924129956	22.0	-8160.71958691209	-4.924337217866221
24000	-8171.065744189086	23.0	-8165.079494586852	-5.986249602234589
25000	-8167.203359533939	24.0	-8161.677756369461	-5.525603164477678
26000	-8169.72682074187	25.0	-8161.294530391518	-8.432290350352154
27000	-8169.150524713971	26.0	-8163.762862274627	-5.387662439344691
28000	-8167.872503168903	27.0	-8162.3463994951335	-5.526103673769372
29000	-8172.388436525652	27.0	-8166.906977163381	-5.481459362270909
30000	-8170.619541543597	28.0	-8165.156955507713	-5.462586035883502
31000	-8167.298582802835	29.0	-8161.868121050315	-5.430461752520047
32000	-8167.158122952338	30.0	-8161.8840706998835	-5.274052252454989
33000	-8174.432982287323	31.0	-8165.707503222945	-8.725479064377943
34000	-8166.757788555635	32.0	-8161.309186719294	-5.448601836340369
35000	-8165.079989667911	33.0	-8159.933772758885	-5.1462169090253935
36000	-8170.285806179839	34.0	-8164.873459144843	-5.41234703499581
37000	-8166.48758372489	35.0	-8161.048088537819	-5.439495187070484
38000	-8166.431664267728	36.0	-8161.446962081136	-4.984702186591606
39000	-8166.666801050983	36.0	-8160.8239805356125	-5.842820515370345
40000	-8168.37258285142	37.0	-8162.249180945618	-6.123401905802
41000	-8166.933415607279	38.0	-8161.876246171297	-5.057169435982342
42000	-8168.6099980994795	39.0	-8162.504165646586	-6.105832452892852
43000	-8166.611372452591	40.0	-8160.452319440472	-6.159053012119742
44000	-8167.088587080784	41.0	-8161.857753935003	-5.2308331457816
45000	-8167.444722110446	42.0	-8162.022601361135	-5.422120749310931
46000	-8166.2931213333995	43.0	-8160.8689651752975	-5.424156158102364
47000	-8168.93892619191	44.0	-8163.494584574857	-5.4443416170528
48000	-8168.782096327661	45.0	-8161.129717946257	-7.652378381403371
49000	-8170.989793908352	45.0	-8164.569837218324	-6.419956690027583
50000	-8173.435959886481	46.0	-8168.0688733721545	-5.36708651432681
51000	-8169.097695661368	47.0	-8163.201606311503	-5.89608934986415
52000	-8170.362419501998	48.0	-8164.672929967469	-5.689489534529296
53000	-8167.471549582732	49.0	-8162.252700785028	-5.218848797704618
54000	-8169.904915859042	50.0	-8164.536362680024	-5.368553179018596
55000	-8166.15029576321	51.0	-8161.074860547431	-5.075435215779411
56000	-8165.974800409574	52.0	-8160.636938835966	-5.337861573607029
57000	-8165.70292475248	53.0	-8160.335663353825	-5.367261398654974
58000	-8168.325621094843	54.0	-8163.05210257328	-5.273518521563743
59000	-8168.425660215914	54.0	-8163.293676317253	-5.131983898660856
60000	-8165.3465730096705	55.0	-8159.9720234453	-5.374549564370529
61000	-8168.487052462849	56.0	-8161.859651321954	-6.627401140895271
62000	-8166.793827038699	57.0	-8161.610375237279	-5.183451801419997
63000	-8167.399882064177	37.2	-8162.3590704452345	-5.040811618942678
64000	-8167.983519322779	37.3	-8161.876531132529	-6.106988190250275
65000	-8167.017693175209	37.2	-8161.423240766575	-5.594452408634595
66000	-8165.482982667193	36.1	-8160.347956023083	-5.135026644110141
67000	-8166.374516253373	35.1	-8160.5874232203205	-5.787093033052814
68000	-8168.479004439002	35.9	-8162.4353896429575	-6.043614796044636
69000	-8167.984946501556	35.3	-8162.277702383692	-5.707244117863871
70000	-8167.68887337526	35.4	-8161.689538786183	-5.9993345890772325
71000	-8167.564698116463	35.7	-8162.18267131619	-5.382026800272671
72000	-8167.139604555783	36.1	-8161.572229547055	-5.567375008728077
73000	-8166.071903680608	36.0	-8160.974394804365	-5.097508876242502
74000	-8165.952494169512	35.4	-8160.48064717976	-5.4718469897517235
75000	-8165.792047927079	34.4	-8160.725003506302	-5.067044420776817
76000	-8166.649437845152	33.6	-8161.562962260692	-5.086475584459386
77000	-8169.871925005649	36.0	-8164.381579020627	-5.490345985022392
78000	-8165.475750863662	35.4	-8160.187186398458	-5.288564465204042
79000	-8168.6576854983105	35.7	-8163.419948026524	-5.237737471786154
80000	-8166.845494570954	36.0	-8161.316285961566	-5.529208609387313
81000	-8166.67224814316	26.1	-8161.285829717335	-5.386418425824409
82000	-8172.684242789406	36.5	-8167.0038948964475	-5.680347892958849
83000	-8169.210365583995	37.4	-8164.020427188868	-5.18993839512636
84000	-8168.968603057176	37.9	-8162.888882710661	-6.079720346514302
85000	-8169.18860460109	38.1	-8164.01601228671	-5.172592314379964
86000	-8165.517142026661	39.7	-8160.227704715195	-5.289437311465787
87000	-8167.005512837892	40.7	-8161.121366370843	-5.884146467048353
88000	-8167.155679102961	41.4	-8161.617382186762	-5.538296916198519
89000	-8168.549473236731	46.5	-8161.971143133125	-6.578330103605765
90000	-8169.552334527955	41.7	-8162.743390601107	-6.808943926847872
91000	-8170.41958718293	49.3	-8164.586026555771	-5.833560627158768
92000	-8166.379687339862	43.4	-8161.18977233058	-5.189915009282558
93000	-8170.5577458560865	51.0	-8165.0396413624385	-5.518104493648308
94000	-8169.4281543153165	50.8	-8164.461756666608	-4.966397648708006
95000	-8170.927295368849	45.2	-8164.607715665086	-6.31957970376237
96000	-8165.846344606131	52.7	-8160.610146614865	-5.236197991266334
97000	-8166.792265424386	54.4	-8161.565143597569	-5.2271218268173065
98000	-8169.944969125672	55.1	-8164.299340378116	-5.645628747556788
99000	-8170.839729982594	45.4	-8164.044479904714	-6.795250077880302
100000	-8166.001240173216	53.1	-8160.622367323031	-5.378872850184964
101000	-8166.481256637203	54.1	-8161.442948466419	-5.038308170783997
102000	-8168.781076816197	54.7	-8163.547351532483	-5.233725283714627
103000	-8166.90923152554	55.2	-8161.472073329809	-5.4371581957310795
104000	-8168.012742865854	55.6	-8162.919844734271	-5.0928981315841
105000	-8166.724711317678	55.6	-8161.314824398345	-5.409886919332964
106000	-8170.4664626728345	57.4	-8165.2619452912395	-5.204517381594773
107000	-8169.035928635305	58.2	-8163.845879259603	-5.190049375701897
108000	-8167.021772932562	59.2	-8161.2781316934215	-5.743641239140319
109000	-8168.40938031829	61.3	-8163.453535493651	-4.955844824638932
110000	-8165.821671923838	63.3	-8160.457669318767	-5.364002605070352
111000	-8167.196758644246	63.5	-8161.392221631814	-5.804537012432108
112000	-8166.082470317003	62.6	-8160.359864050087	-5.722606266916229
113000	-8166.299694021672	61.7	-8160.723313372389	-5.57638064928223
114000	-8168.0232227879105	62.1	-8162.490023037929	-5.533199749981138
115000	-8168.821599545645	63.4	-8161.754725324846	-7.066874220799089
116000	-8167.193741978151	63.4	-8161.16847514415	-6.025266834000887
117000	-8166.921135786223	63.6	-8161.651712768234	-5.26942301798982
118000	-8166.849640231498	64.0	-8161.653025950269	-5.196614281229019
119000	-8166.1272049515055	62.6	-8160.792553222729	-5.334651728776809
120000	-8165.834447780809	61.5	-8160.451992179757	-5.3824556010509506
121000	-8167.520862223511	61.4	-8161.524001170833	-5.9968610526784785
122000	-8166.538947575037	60.7	-8161.313656131279	-5.2252914437588664
123000	-8170.9869255902095	64.8	-8162.498024588579	-8.488901001630655
124000	-8168.73846552664	65.5	-8162.559166781794	-6.179298744845369
125000	-8167.367152443981	66.3	-8161.951854555692	-5.415297888288775
126000	-8171.972206325542	66.9	-8165.762815914158	-6.209390411384583
127000	-8169.0527486547635	66.4	-8163.774734772262	-5.278013882501863
128000	-8167.604677368908	67.5	-8161.009229299261	-6.595448069646414
129000	-8168.409198355886	68.5	-8162.9661190088655	-5.443079347019756
130000	-8171.9765471762385	66.9	-8165.872185947176	-6.104361229062482
131000	-8169.206873184815	66.7	-8163.814875282371	-5.391997902444252
132000	-8169.909644172807	66.1	-8163.694076789771	-6.215567383035912
133000	-8165.431854853601	70.4	-8160.302246394086	-5.129608459515324
134000	-8167.457425091417	71.5	-8161.952186455106	-5.505238636310158
135000	-8166.089280359485	72.2	-8160.665517269856	-5.423763089630002
136000	-8166.996497066838	72.1	-8160.641885077507	-6.354611989331237
137000	-8167.632232531289	72.2	-8162.2027614459885	-5.42947108530133
138000	-8165.636110892994	71.4	-8160.442170539864	-5.1939403531305945
139000	-8166.879086143984	70.8	-8161.592885827338	-5.286200316645463
140000	-8166.599923859551	70.2	-8160.181854372064	-6.418069487487527
141000	-8167.797363271042	70.6	-8162.37218661659	-5.425176654452269
142000	-8168.758810659657	71.8	-8159.904066105879	-8.854744553777726
143000	-8173.4239687428935	76.2	-8167.359763405021	-6.064205337872139
144000	-8167.432265837721	77.3	-8162.259059227926	-5.173206609795916
145000	-8169.621013519755	76.6	-8164.173019414174	-5.44799410558154
146000	-8166.380102642615	79.6	-8161.027013908848	-5.3530887337672866
147000	-8167.113850181577	81.1	-8161.509089631775	-5.604760549801384
148000	-8169.105311458801	82.1	-8163.732896150862	-5.372415307939685
149000	-8168.309531691921	82.0	-8161.175167397343	-7.134364294578061
150000	-8166.9472556208875	82.4	-8161.27823041311	-5.669025207777647
151000	-8165.799183104479	83.0	-8160.474176847946	-5.325006256532624
152000	-8167.212765111884	83.3	-8161.870422658835	-5.342342453049025
153000	-8172.136072200242	88.2	-8165.815529373238	-6.320542827003961
154000	-8169.515336727108	89.0	-8163.861308836573	-5.654027890534536
155000	-8165.410588944048	91.5	-8160.1768446880105	-5.2337442560377765
156000	-8169.777067031521	91.5	-8164.5891805427345	-5.18788648878712
157000	-8165.884153255249	94.7	-8160.7931009995555	-5.091052255693089
158000	-8167.228903642893	95.1	-8161.628859858489	-5.600043784403729
159000	-8167.763711113903	92.3	-8162.650997428061	-5.112713685842294
160000	-8168.027588976638	93.0	-8162.063247669171	-5.964341307467118
161000	-8168.917773722931	94.3	-8163.010218292239	-5.907555430692058
162000	-8167.518883481958	94.9	-8162.12486069371	-5.394022788248945
163000	-8167.543692047462	95.6	-8162.418375276501	-5.125316770961023
164000	-8171.732102528399	97.2	-8166.057492527456	-5.674610000942897
165000	-8167.999971596166	97.9	-8162.980773056423	-5.019198539743099
166000	-8167.634452872587	98.9	-8162.222883239849	-5.41156963273764
167000	-8165.923418743132	101.2	-8160.72212663932	-5.201292103812064
168000	-8169.23263092899	101.6	-8164.242278345192	-4.990352583798423
169000	-8171.086134389836	102.6	-8165.556379264173	-5.5297551256628505
170000	-8168.943113400654	103.0	-8163.564829337863	-5.3782840627905175
171000	-8172.131410359627	101.9	-8166.068345039935	-6.0630653196921225
172000	-8167.201720292768	104.5	-8161.412949650108	-5.788770642660085
173000	-8167.708524181397	105.9	-8162.533026509305	-5.175497672091504
174000	-8166.290619198791	108.4	-8160.602540168041	-5.688079030750088
175000	-8165.85085421699	110.0	-8160.082999300026	-5.767854916964444
